,province,sex,master_channel,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month
114,p4,1,e,1.0,10.99,0.0,1,hc,1,1,2017,0.0,30.5,152.34,a
115,p2,0,e,1.0,10.99,0.0,0,gc,1,1,2017,0.0,16.0,152.34,a
116,p4,1,f,1.0,10.99,0.0,0,hc,1,1,2017,0.0,13.5,152.34,a
117,p2,0,e,1.0,10.99,0.0,0,gc,1,1,2017,0.0,20.5,152.34,a
118,p4,1,f,1.0,10.99,0.0,1,hc,1,1,2017,0.5,14.0,152.34,a
119,p3,0,gb,1.0,2.99,0.0,1,hc,1,1,2017,0.25,14.0,152.34,a
120,p8,0,e,1.0,10.99,0.0,1,gc,1,1,2017,0.0,18.0,152.34,a
121,p4,0,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,11.0,152.34,a
122,p3,0,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.0,10.5,152.34,a
123,p1,0,e,1.0,10.99,0.0,1,hc,1,0,2017,0.0,30.0,152.34,a
124,p1,1,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.0,14.0,152.34,a
125,p1,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,11.5,152.34,a
126,p3,0,f,1.0,10.99,0.0,0,he,1,1,2017,33.0,14.0,152.34,a
127,p10,1,s,1.0,10.99,0.0,0,gc,1,1,2017,0.0,13.0,152.34,a
128,p1,1,e,1.0,10.99,0.0,1,gc,1,1,2017,0.5,18.5,152.34,a
129,p5,0,a,1.0,10.99,0.0,1,gc,1,0,2017,4.0,16.5,152.34,a
130,p10,1,f,1.0,10.99,0.0,1,other,1,0,2017,0.0,14.5,152.34,a
131,p3,0,e,1.0,10.99,0.0,0,gc,1,1,2017,24.25,27.0,152.34,a
132,p3,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,34.0,152.34,a
133,p4,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,13.0,152.34,a
134,p3,0,s,1.0,10.99,0.0,0,gc,1,0,2017,30.0,13.5,152.34,a
135,p5,0,s,1.0,10.99,0.0,1,hc,1,1,2017,0.0,13.0,152.34,a
136,p10,0,a,1.0,10.99,1.0,0,hc,1,0,2017,0.0,19.0,152.34,a
137,p12,0,s,1.0,10.99,0.0,1,hc,1,1,2017,0.0,16.0,152.34,a
138,p5,0,de,1.0,10.99,0.0,0,gc,1,0,2017,3.0,21.0,152.34,a
139,p2,0,f,1.0,10.99,0.0,0,hc,1,0,2017,0.0,12.5,152.34,a
140,p1,0,d,1.0,10.99,0.0,0,hc,1,1,2017,0.25,17.5,152.34,a
141,p8,0,de,1.0,10.99,0.0,1,gc,1,1,2017,0.0,13.0,152.34,a
142,p3,0,de,1.0,10.99,0.0,0,yc,1,1,2017,0.0,26.0,152.34,a
143,p1,1,ps,1.0,10.99,0.0,0,he,1,1,2017,0.0,16.0,152.34,a
144,p11,0,de,1.0,10.99,0.0,0,hc,1,1,2017,0.0,18.5,152.34,a
145,p3,0,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.25,20.5,152.34,a
146,p3,0,ps,1.0,10.99,0.0,1,gc,1,1,2017,0.0,26.5,152.34,a
147,p6,0,e,1.0,10.99,0.0,1,hc,1,1,2017,0.0,24.5,152.34,a
148,p3,0,s,1.0,10.99,0.0,0,hc,1,1,2017,0.0,17.0,152.34,a
149,p12,0,gb,1.0,2.99,0.0,0,other,1,0,2017,0.0,13.0,152.34,a
150,p3,0,e,1.0,10.99,0.0,0,gc,1,1,2017,0.0,18.5,152.34,a
151,p4,0,s,1.0,10.99,0.0,1,gc,1,1,2017,0.0,18.0,152.34,a
152,p8,1,ps,0.0,10.99,0.0,0,gc,1,1,2017,0.0,16.0,152.34,a
153,p4,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,10.5,152.34,a
154,p3,1,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,17.0,152.34,a
155,p9,0,a,1.0,10.99,0.0,1,gc,1,0,2017,3.75,13.5,152.34,a
156,p1,0,f,1.0,10.99,0.0,1,other,1,0,2017,0.0,20.5,152.34,a
157,p2,1,gb,1.0,2.99,0.0,1,hc,1,1,2017,1.5,24.5,152.34,a
158,p2,0,f,1.0,20.99,0.0,1,gc,0,0,2017,0.5,10.0,152.34,a
159,p1,0,e,1.0,10.99,0.0,0,hc,1,1,2017,6.0,15.5,152.34,a
160,p4,0,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,25.0,152.34,a
161,p1,0,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,15.0,152.34,a
162,p3,1,s,1.0,10.99,0.0,1,gc,1,1,2017,0.0,15.0,152.34,a
163,p2,0,s,1.0,10.99,0.0,0,gc,1,1,2017,0.0,12.5,152.34,a
164,p7,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.25,13.5,152.34,a
165,p3,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,10.0,152.34,a
166,p2,0,e,1.0,10.99,0.0,1,yc,1,1,2017,0.0,16.5,152.34,a
167,p5,0,s,1.0,10.99,0.0,0,gc,1,1,2017,0.0,17.5,152.34,a
168,p10,0,e,1.0,10.99,0.0,1,hc,1,1,2017,0.25,17.0,152.34,a
169,p16,1,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.0,13.0,152.34,a
170,p3,0,e,1.0,10.99,0.0,1,hc,1,1,2017,0.0,17.0,152.34,a
171,p4,1,gb,1.0,2.99,0.0,1,gc,1,1,2017,0.0,32.0,152.34,a
172,p9,0,s,1.0,10.99,0.0,0,gc,1,1,2017,0.25,11.5,152.34,a
173,p5,0,s,1.0,10.99,0.0,0,hc,1,1,2017,0.0,15.0,152.34,a
174,p10,0,g,1.0,0.0,0.0,0,other,0,1,2017,0.0,21.0,152.34,a
175,p1,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,13.5,152.34,a
176,p12,0,a,1.0,10.99,0.0,1,ye,1,1,2017,0.0,19.5,152.34,a
177,p13,0,e,1.0,10.99,1.0,0,hc,1,1,2017,0.0,17.5,152.34,a
178,p3,0,f,1.0,10.99,0.0,0,hc,1,1,2017,0.25,19.0,152.34,a
179,p3,1,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,11.0,152.34,a
180,p4,0,e,1.0,10.99,0.0,0,gc,1,1,2017,0.0,12.5,152.34,a
181,p3,0,d,1.0,10.99,0.0,1,mc,1,1,2017,0.0,21.0,152.34,a
182,p8,0,f,1.0,10.99,0.0,1,lc,1,0,2017,0.0,15.0,152.34,a
183,p1,0,f,1.0,10.99,0.0,1,gc,1,1,2017,4.5,13.5,152.34,a
184,p8,0,d,1.0,10.99,0.0,1,gc,1,1,2017,0.0,24.0,152.34,a
185,p2,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.25,11.0,152.34,a
186,p5,1,d,1.0,20.99,0.0,0,gc,0,1,2017,5.0,12.0,152.34,a
187,p3,0,gb,1.0,2.99,0.0,1,hc,1,1,2017,0.0,23.5,152.34,a
188,p10,1,ps,1.0,10.99,0.0,0,he,1,1,2017,0.0,16.0,152.34,a
189,p1,0,ps,1.0,10.99,0.0,0,hc,1,1,2017,0.25,15.0,152.34,a
190,p3,0,gb,1.0,2.99,0.0,0,hc,1,0,2017,0.25,19.5,152.34,a
191,p2,1,s,1.0,10.99,0.0,1,he,1,1,2017,0.25,15.0,152.34,a
192,p6,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.25,30.0,152.34,a
193,p1,1,de,1.0,10.99,0.0,0,gc,1,1,2017,0.25,16.5,152.34,a
194,p8,0,a,1.0,10.99,0.0,0,gc,1,0,2017,0.25,17.5,152.34,a
195,p1,0,a,1.0,10.99,0.0,1,gc,1,1,2017,0.0,10.5,152.34,a
196,p2,1,gb,1.0,2.99,0.0,1,gc,1,0,2017,0.0,19.5,152.34,a
197,p6,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,15.5,152.34,a
198,p3,0,a,1.0,10.99,0.0,1,ye,1,0,2017,0.0,18.0,152.34,a
199,p16,0,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.0,18.0,152.34,a
200,p6,0,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,11.0,152.34,a
201,p5,1,e,1.0,10.99,0.0,0,gc,1,1,2017,46.25,16.5,152.34,a
202,p6,1,f,0.0,10.99,0.0,0,gc,1,0,2017,1.0,14.5,152.34,a
203,p3,0,f,1.0,10.99,0.0,1,ic,1,1,2017,0.0,9.5,152.34,a
204,p12,1,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.0,13.0,152.34,a
205,p9,0,f,1.0,10.99,0.0,1,gc,1,1,2017,0.5,27.5,152.34,a
206,p3,0,s,1.0,10.99,0.0,1,he,1,1,2017,0.0,12.0,152.34,a
207,p1,0,e,1.0,10.99,0.0,1,gc,1,1,2017,3.25,19.5,152.34,a
208,p2,0,f,1.0,10.99,0.0,0,gc,1,1,2017,0.0,24.5,152.34,a
209,p13,0,f,1.0,10.99,0.0,0,gc,1,0,2017,0.5,15.0,152.34,a
210,p8,1,f,1.0,10.99,0.0,1,yc,1,0,2017,0.0,17.0,152.34,a
211,p8,0,f,1.0,10.99,0.0,1,yc,1,0,2017,0.0,16.5,152.34,a
212,p3,0,d,1.0,20.99,0.0,0,gc,0,0,2017,0.0,15.5,152.34,a
213,p2,0,gb,1.0,2.99,0.0,1,hc,1,1,2017,0.0,27.5,152.34,a
214,p3,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,20.5,152.34,a
215,p4,1,ps,1.0,10.99,0.0,1,gc,1,1,2017,1.5,21.0,152.34,a
216,p10,0,d,1.0,10.99,0.0,0,hc,1,1,2017,2.25,19.0,152.34,a
217,p2,0,s,1.0,10.99,0.0,0,gc,1,1,2017,0.0,14.5,152.34,a
218,p11,0,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,19.5,152.34,a
219,p2,0,a,1.0,20.99,0.0,1,he,0,0,2017,12.75,13.5,152.34,a
220,p1,1,g,1.0,10.99,0.0,0,other,0,0,2017,0.0,32.0,152.34,a
221,p2,1,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,12.5,152.34,a
