,sex,master_channel_a,master_channel_f,master_channel_d,master_channel_ps,master_channel_gb,master_channel_de,master_channel_g,master_channel_s,master_channel_e,master_channel_b,master_channel_dd,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain_gc,email_domain_hc,email_domain_yc,email_domain_he,email_domain_other,email_domain_ye,email_domain_lc,email_domain_mc,email_domain_ic,email_domain_ce,email_domain_oe,email_domain_ge,email_domain_oc,email_domain_ae,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month_a,reg_month_b,reg_month_c,reg_month_d,reg_month_e,reg_month_f,reg_month_g,reg_month_h,reg_month_i,reg_month_j,reg_month_k,reg_month_l,random,income_per_region,population_per_region
41,0,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,27.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,242,14638,2399548
42,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,11.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,685,13148,5003769
43,0,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,18.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,137,17102,7675217
44,0,0,0,0,0,1,0,0,0,0,0,0,1,2.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,12.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,503,18707,6663394
45,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,22.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,682,18707,6663394
46,0,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,17.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,97,13148,5003769
47,0,0,0,1,0,0,0,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,9.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,797,18707,6663394
48,0,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,26.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,317,17102,7675217
49,1,0,0,0,1,0,0,0,0,0,0,0,1,10.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,12.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,296,18707,6663394
50,0,0,0,0,0,0,0,0,1,0,0,0,1,10.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,17.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,118,13148,5003769
51,0,1,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,19.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,705,17102,7675217
52,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,17.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,355,11589,8414240
53,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,17.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,73,11589,8414240
54,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,17.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,37,11589,8414240
55,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,15.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,24,11589,8414240
57,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,18.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,181,11589,8414240
58,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,18.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,418,11589,8414240
59,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,9.5,10.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,185,14903,1022800
60,1,0,0,0,1,0,0,0,0,0,0,0,0,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.25,13.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,897,17102,7675217
61,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,11.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,695,11589,8414240
62,1,0,0,0,0,1,0,0,0,0,0,0,1,2.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,13.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,50,18707,6663394
63,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,20.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,726,13148,5003769
64,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2017,0.0,19.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,546,11589,8414240
