,sex,master_channel,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month,random,income_per_region,population_per_region
82,0,e,1.0,10.99,0.0,1,hc,1,1,2017,0.0,19.0,152.34,a,931,15251,316798
83,0,e,1.0,10.99,0.0,1,hc,1,0,2017,0.0,11.0,152.34,a,750,18707,6663394
84,0,s,1.0,10.99,0.0,1,gc,1,1,2017,0.0,12.5,152.34,a,305,14638,2399548
85,1,f,1.0,10.99,0.0,1,hc,1,1,2017,0.0,11.0,152.34,a,991,17102,7675217
86,0,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.0,19.0,152.34,a,511,18707,6663394
87,0,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.0,21.0,152.34,a,600,17102,7675217
88,0,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.0,35.5,152.34,a,690,12401,2032863
89,0,e,1.0,10.99,0.0,0,lc,1,1,2017,0.0,12.5,152.34,a,725,13621,2699499
90,0,e,1.0,10.99,0.0,0,hc,1,1,2017,0.0,17.0,152.34,a,948,12401,2032863
91,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,23.0,152.34,a,983,14638,2399548
92,0,e,0.0,10.99,0.0,0,hc,1,1,2017,0.0,32.0,152.34,a,993,14903,1022800
93,1,e,1.0,10.99,0.0,0,hc,1,1,2017,0.0,27.0,152.34,a,199,11589,8414240
94,1,f,1.0,10.99,0.0,1,he,1,0,2017,0.0,13.0,152.34,a,248,18707,6663394
95,0,g,1.0,0.0,0.0,1,gc,0,0,2017,0.0,20.5,152.34,a,157,14584,581078
96,1,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,15.5,152.34,a,717,18707,6663394
97,0,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,15.5,152.34,a,320,17102,7675217
98,1,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,14.5,152.34,a,939,11589,8414240
99,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,13.5,152.34,a,897,11589,8414240
100,0,e,1.0,10.99,0.0,1,gc,1,1,2017,0.0,20.0,152.34,a,908,11310,1067710
101,0,f,1.0,10.99,0.0,0,hc,1,1,2017,0.0,18.5,152.34,a,201,14584,581078
102,0,f,1.0,10.99,0.0,0,hc,1,0,2017,0.0,16.5,152.34,a,1,11589,8414240
103,0,d,1.0,20.99,0.0,0,hc,0,0,2017,0.0,13.5,152.34,a,986,11589,8414240
104,0,s,1.0,10.99,0.0,1,hc,1,1,2017,0.0,11.5,152.34,a,159,17102,7675217
105,0,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,28.0,152.34,a,878,18707,6663394
106,1,f,1.0,10.99,0.0,1,he,1,1,2017,0.25,13.5,152.34,a,443,19195,2207776
107,1,a,1.0,10.99,0.0,0,hc,1,1,2017,0.25,12.5,152.34,a,514,11818,1493898
108,0,e,1.0,10.99,0.0,1,gc,1,1,2017,0.0,15.5,152.34,a,415,15882,1319291
109,1,ps,1.0,10.99,0.0,1,gc,1,1,2017,0.0,16.0,152.34,a,598,13621,2699499
110,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,16.5,152.34,a,233,17102,7675217
111,1,e,1.0,10.99,0.0,1,gc,1,0,2017,0.0,14.5,152.34,a,438,17102,7675217
112,0,e,0.0,20.99,0.0,0,gc,0,1,2017,0.25,16.5,152.34,a,241,11589,8414240
113,1,e,1.0,10.99,0.0,1,gc,1,1,2017,0.5,16.0,152.34,a,371,17102,7675217
114,1,e,1.0,10.99,0.0,1,hc,1,1,2017,0.0,30.5,152.34,a,40,13148,5003769
115,0,e,1.0,10.99,0.0,0,gc,1,1,2017,0.0,16.0,152.34,a,252,18707,6663394
116,1,f,1.0,10.99,0.0,0,hc,1,1,2017,0.0,13.5,152.34,a,382,13148,5003769
117,0,e,1.0,10.99,0.0,0,gc,1,1,2017,0.0,20.5,152.34,a,628,18707,6663394
118,1,f,1.0,10.99,0.0,1,hc,1,1,2017,0.5,14.0,152.34,a,266,13148,5003769
119,0,gb,1.0,2.99,0.0,1,hc,1,1,2017,0.25,14.0,152.34,a,364,17102,7675217
120,0,e,1.0,10.99,0.0,1,gc,1,1,2017,0.0,18.0,152.34,a,212,19195,2207776
121,0,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,11.0,152.34,a,405,13148,5003769
122,0,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.0,10.5,152.34,a,340,17102,7675217
123,0,e,1.0,10.99,0.0,1,hc,1,0,2017,0.0,30.0,152.34,a,95,11589,8414240
124,1,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.0,14.0,152.34,a,252,11589,8414240
125,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,11.5,152.34,a,455,11589,8414240
126,0,f,1.0,10.99,0.0,0,he,1,1,2017,33.0,14.0,152.34,a,140,17102,7675217
127,1,s,1.0,10.99,0.0,0,gc,1,1,2017,0.0,13.0,152.34,a,201,11310,1067710
128,1,e,1.0,10.99,0.0,1,gc,1,1,2017,0.5,18.5,152.34,a,45,11589,8414240
129,0,a,1.0,10.99,0.0,1,gc,1,0,2017,4.0,16.5,152.34,a,528,14638,2399548
130,1,f,1.0,10.99,0.0,1,other,1,0,2017,0.0,14.5,152.34,a,16,11310,1067710
131,0,e,1.0,10.99,0.0,0,gc,1,1,2017,24.25,27.0,152.34,a,613,17102,7675217
132,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,34.0,152.34,a,722,17102,7675217
133,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,13.0,152.34,a,542,13148,5003769
134,0,s,1.0,10.99,0.0,0,gc,1,0,2017,30.0,13.5,152.34,a,236,17102,7675217
135,0,s,1.0,10.99,0.0,1,hc,1,1,2017,0.0,13.0,152.34,a,178,14638,2399548
136,0,a,1.0,10.99,1.0,0,hc,1,0,2017,0.0,19.0,152.34,a,373,11310,1067710
137,0,s,1.0,10.99,0.0,1,hc,1,1,2017,0.0,16.0,152.34,a,645,11818,1493898
138,0,de,1.0,10.99,0.0,0,gc,1,0,2017,3.0,21.0,152.34,a,196,14638,2399548
139,0,f,1.0,10.99,0.0,0,hc,1,0,2017,0.0,12.5,152.34,a,622,18707,6663394
140,0,d,1.0,10.99,0.0,0,hc,1,1,2017,0.25,17.5,152.34,a,505,11589,8414240
141,0,de,1.0,10.99,0.0,1,gc,1,1,2017,0.0,13.0,152.34,a,571,19195,2207776
142,0,de,1.0,10.99,0.0,0,yc,1,1,2017,0.0,26.0,152.34,a,71,17102,7675217
143,1,ps,1.0,10.99,0.0,0,he,1,1,2017,0.0,16.0,152.34,a,799,11589,8414240
144,0,de,1.0,10.99,0.0,0,hc,1,1,2017,0.0,18.5,152.34,a,971,14903,1022800
145,0,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.25,20.5,152.34,a,463,17102,7675217
146,0,ps,1.0,10.99,0.0,1,gc,1,1,2017,0.0,26.5,152.34,a,984,17102,7675217
147,0,e,1.0,10.99,0.0,1,hc,1,1,2017,0.0,24.5,152.34,a,199,13621,2699499
148,0,s,1.0,10.99,0.0,0,hc,1,1,2017,0.0,17.0,152.34,a,256,17102,7675217
149,0,gb,1.0,2.99,0.0,0,other,1,0,2017,0.0,13.0,152.34,a,194,11818,1493898
150,0,e,1.0,10.99,0.0,0,gc,1,1,2017,0.0,18.5,152.34,a,448,17102,7675217
151,0,s,1.0,10.99,0.0,1,gc,1,1,2017,0.0,18.0,152.34,a,897,13148,5003769
152,1,ps,0.0,10.99,0.0,0,gc,1,1,2017,0.0,16.0,152.34,a,867,19195,2207776
153,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,10.5,152.34,a,130,13148,5003769
154,1,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,17.0,152.34,a,350,17102,7675217
155,0,a,1.0,10.99,0.0,1,gc,1,0,2017,3.75,13.5,152.34,a,611,15882,1319291
